identifier,msa_dim0,msa_dim1,num_templates,num_alignments,chain_lengths,msa_seq_lengths
lgr4_human___573,3235,1025,1,3235,1:951|2:74,1:1008|2:1471
npy2r_human___1699,2162,409,1,2162,1:381|2:28,1:1907|2:196
crfr2_human___2257,2377,438,1,2377,1:411|2:27,1:1705|2:457
gpr75_human___2168,2101,549,1,2101,1:540|2:9,1:1069|2:53
calrl_human___754,3072,553,1,3072,1:461|2:92,1:1627|2:2015
pkr1_human___1871,2116,413,1,2116,1:393|2:20,1:1850|2:77
ccr7_human___808,3072,448,1,3072,1:378|2:70,1:1944|2:2024
ccr2_human___758,3072,442,1,3072,1:374|2:68,1:1958|2:2029
hrh4_human___687,2314,427,1,2314,1:390|2:37,1:1173|2:435
xcr1_human___817,3681,460,1,3681,1:333|2:127,1:1967|2:1396
cxcr2_human___585,2050,367,1,2050,1:360|2:7,1:1947|2:3
fpr1_human___1047,2106,374,1,2106,1:350|2:24,1:1768|2:76
galr1_human___3735,2115,367,1,2115,1:349|2:18,1:1824|2:68
ackr4_human___808,3072,420,1,3072,1:350|2:70,1:2000|2:2025
cx3c1_human___681,2331,392,1,2331,1:355|2:37,1:1975|2:460
oprm_human___1298,2150,419,1,2150,1:400|2:19,1:1895|2:129
crfr1_human___3643,2099,442,1,2099,1:415|2:27,1:1678|2:104
cxcr4_human___3542,2423,394,1,2423,1:352|2:42,1:1939|2:578
cxcr3_human___3570,3072,603,1,3072,1:368|2:235,1:1996|2:1927
acthr_human___4057,2132,317,1,2132,1:297|2:20,1:1626|2:91
fzd2_human___644,2057,574,1,2057,1:565|2:9,1:1297|2:10
ccr2_human___5654,2048,387,1,2048,1:374|2:13,1:1947|2:1
fpr1_human___687,2317,387,1,2317,1:350|2:37,1:1778|2:432
cxcr6_human___817,3682,469,1,3682,1:342|2:127,1:1894|2:1396
fzd1_human___810,3072,724,1,3072,1:647|2:77,1:1585|2:2025
ackr2_human___1320,2127,397,1,2127,1:384|2:13,1:1972|2:101
ackr4_human___1790,2350,386,1,2350,1:350|2:36,1:1989|2:406
lgr4_human___1157,2108,960,1,2108,1:951|2:9,1:757|2:60
c3ar_human___3700,3072,697,1,3072,1:482|2:215,1:963|2:1489
cml2_human___1681,2070,372,1,2070,1:355|2:17,1:1855|2:23
pkr1_human___3570,3072,628,1,3072,1:393|2:235,1:1873|2:1917
ccr7_human___1579,2083,391,1,2083,1:378|2:13,1:1907|2:36
c3ar_human___1470,2205,507,1,2205,1:482|2:25,1:1013|2:194
hrh4_human___3645,3072,477,1,3072,1:390|2:87,1:1256|2:2023
npy1r_human___1298,2147,403,1,2147,1:384|2:19,1:1787|2:129
xcr1_human___5336,2192,356,1,2192,1:333|2:23,1:1964|2:167
hrh4_human___1099,2150,418,1,2150,1:390|2:28,1:1144|2:160
ccr10_human___810,3072,439,1,3072,1:362|2:77,1:1960|2:2025
acthr_human___3633,2592,336,1,2592,1:297|2:39,1:1689|2:869
cml2_human___681,2331,392,1,2331,1:355|2:37,1:1868|2:460
lgr6_human___613,2082,977,1,2082,1:967|2:10,1:805|2:34
gpr75_human___6067,2261,562,1,2261,1:540|2:22,1:1069|2:214
ccr2_human___1047,2106,398,1,2106,1:374|2:24,1:1948|2:76
ccr1_human___754,3072,447,1,3072,1:355|2:92,1:1962|2:2014
cml1_human___3700,3072,588,1,3072,1:373|2:215,1:1898|2:1506
calrl_human___3643,2099,488,1,2099,1:461|2:27,1:1520|2:104
c5ar1_human___5895,2158,376,1,2158,1:350|2:26,1:1739|2:215
npy4r_human___2090,2084,385,1,2084,1:375|2:10,1:1781|2:37
npy4r_human___1136,2460,404,1,2460,1:375|2:29,1:1799|2:706
ccr2_human___776,3072,445,1,3072,1:374|2:71,1:1959|2:2039
cxcr2_human___758,3072,428,1,3072,1:360|2:68,1:1948|2:2032
ackr2_human___754,3072,476,1,3072,1:384|2:92,1:1968|2:2014
gpr75_human___5895,2161,566,1,2161,1:540|2:26,1:1109|2:218
npy2r_human___2156,2121,389,1,2121,1:381|2:8,1:1906|2:73
crfr2_human___3594,2225,471,1,2225,1:411|2:60,1:1699|2:234
calrl_human___1470,2205,486,1,2205,1:461|2:25,1:1517|2:194
crfr1_human___1470,2205,440,1,2205,1:415|2:25,1:1679|2:194
pkr2_human___613,2082,394,1,2082,1:384|2:10,1:1861|2:34
lgr4_human___2098,2067,962,1,2067,1:951|2:11,1:757|2:20
pkr2_human___5654,2048,397,1,2048,1:384|2:13,1:1861|2:1
acthr_human___574,3244,370,1,3244,1:297|2:73,1:1722|2:1459
ccr8_human___812,3072,428,1,3072,1:355|2:73,1:1974|2:2039
ccr4_human___3542,2422,402,1,2422,1:360|2:42,1:1968|2:578
ccr6_human___4358,3392,442,1,3392,1:374|2:68,1:1917|2:1585
ccr4_human___821,3072,437,1,3072,1:360|2:77,1:1980|2:2020
pkr1_human___613,2082,403,1,2082,1:393|2:10,1:1850|2:34
ccr3_human___1136,2480,384,1,2480,1:355|2:29,1:1952|2:703
npy5r_human___1997,2434,472,1,2434,1:445|2:27,1:1014|2:575
ox1r_human___5654,2048,438,1,2048,1:425|2:13,1:1224|2:1
cx3c1_human___808,3072,425,1,3072,1:355|2:70,1:1996|2:2026
acthr_human___1333,2080,308,1,2080,1:297|2:11,1:1624|2:33
ccr7_human___1136,2484,407,1,2484,1:378|2:29,1:1913|2:700
ox1r_human___612,2191,452,1,2191,1:425|2:27,1:1242|2:198
crfr2_human___1140,2482,444,1,2482,1:411|2:33,1:1729|2:690
npy2r_human___1871,2116,401,1,2116,1:381|2:20,1:1906|2:77
ox1r_human___1699,2162,453,1,2162,1:425|2:28,1:1251|2:196
ccr8_human___808,3072,425,1,3072,1:355|2:70,1:1976|2:2024
ccr4_human___754,3072,452,1,3072,1:360|2:92,1:1979|2:2013
cxcr4_human___798,3072,421,1,3072,1:352|2:69,1:1944|2:2032
fzd1_human___6067,2261,669,1,2261,1:647|2:22,1:1309|2:214
ccr5_human___3643,2099,379,1,2099,1:352|2:27,1:1929|2:102
ccr7_human___758,3072,446,1,3072,1:378|2:68,1:1927|2:2032
cxcr5_human___808,3072,442,1,3072,1:372|2:70,1:1980|2:2023
acthr_human___1157,2108,306,1,2108,1:297|2:9,1:1624|2:60
npy4r_human___1283,2074,385,1,2074,1:375|2:10,1:1781|2:27
ccr5_human___798,3072,421,1,3072,1:352|2:69,1:1968|2:2031
cml2_human___1136,2486,384,1,2486,1:355|2:29,1:1874|2:701
c5ar2_human___5654,2048,350,1,2048,1:337|2:13,1:1737|2:1
ccr8_human___3606,2382,373,1,2382,1:355|2:18,1:1944|2:459
galr1_human___3592,2219,379,1,2219,1:349|2:30,1:1830|2:296
par4_human___2019,2155,399,1,2155,1:385|2:14,1:1949|2:107
galr3_human___1136,2481,397,1,2481,1:368|2:29,1:1796|2:705
lgr4_human___1298,2147,970,1,2147,1:951|2:19,1:779|2:129
c3ar_human___1495,2116,505,1,2116,1:482|2:23,1:1012|2:89
ackr4_human___798,3072,419,1,3072,1:350|2:69,1:1999|2:2032
cxcr2_human___5895,2160,386,1,2160,1:360|2:26,1:1951|2:215
oprm_human___2019,2155,414,1,2155,1:400|2:14,1:1895|2:107
glp2r_human___808,3072,623,1,3072,1:553|2:70,1:1776|2:2025
c3ar_human___3640,3072,559,1,3072,1:482|2:77,1:799|2:1960
ackr4_human___758,3072,418,1,3072,1:350|2:68,1:1996|2:2033
cxcr6_human___808,3072,412,1,3072,1:342|2:70,1:1946|2:2026
hrh4_human___1681,2070,407,1,2070,1:390|2:17,1:1128|2:23
pkr2_human___1458,2135,406,1,2135,1:384|2:22,1:1862|2:107
c5ar2_human___1099,2150,365,1,2150,1:337|2:28,1:1737|2:160
acthr_human___3606,2382,315,1,2382,1:297|2:18,1:1653|2:453
galr3_human___1162,2077,378,1,2077,1:368|2:10,1:1760|2:30
par4_human___1997,2446,412,1,2446,1:385|2:27,1:1949|2:575
fzd2_human___3735,2115,583,1,2115,1:565|2:18,1:1297|2:68
gpr75_human___1504,2309,576,1,2309,1:540|2:36,1:1159|2:508
ackr4_human___5654,2048,363,1,2048,1:350|2:13,1:1987|2:1
cxcr5_human___1458,2136,394,1,2136,1:372|2:22,1:1964|2:107
npy2r_human___1504,2248,417,1,2248,1:381|2:36,1:1910|2:514
fpr1_human___4058,2109,365,1,2109,1:350|2:15,1:1767|2:61
hrh4_human___644,2057,399,1,2057,1:390|2:9,1:1128|2:10
cxcr6_human___821,3072,419,1,3072,1:342|2:77,1:1920|2:2022
crfr2_human___1790,2343,447,1,2343,1:411|2:36,1:1703|2:413
cxcr3_human___819,3072,441,1,3072,1:368|2:73,1:1996|2:2037
gpr75_human___758,3483,608,1,3483,1:540|2:68,1:1339|2:2033
cxcr2_human___1579,2083,373,1,2083,1:360|2:13,1:1947|2:36
ackr4_human___613,2082,360,1,2082,1:350|2:10,1:1987|2:34
oprm_human___1157,2108,409,1,2108,1:400|2:9,1:1895|2:60
cml1_human___5654,2048,386,1,2048,1:373|2:13,1:1794|2:1
ccr10_human___808,3072,432,1,3072,1:362|2:70,1:1970|2:2023
pkr2_human___1790,2345,420,1,2345,1:384|2:36,1:1859|2:408
npy5r_human___2168,2101,454,1,2101,1:445|2:9,1:1006|2:53
ackr3_human___989,2179,383,1,2179,1:362|2:21,1:1956|2:215
cxcr2_human___2945,3216,494,1,3216,1:360|2:134,1:1957|2:1326
npy1r_human___1504,2247,420,1,2247,1:384|2:36,1:1798|2:515
cml1_human___1157,2108,382,1,2108,1:373|2:9,1:1794|2:60
cml2_human___1643,2298,386,1,2298,1:355|2:31,1:1865|2:362
ccr3_human___855,2138,580,1,2138,1:355|2:225,1:1955|2:273
ackr3_human___2089,2056,372,1,2056,1:362|2:10,1:1954|2:9
cml1_human___687,2317,410,1,2317,1:373|2:37,1:1812|2:432
cxcr4_human___2168,2101,361,1,2101,1:352|2:9,1:1938|2:53
ccr1_human___1790,2348,391,1,2348,1:355|2:36,1:1941|2:407
ccr6_human___2257,2378,401,1,2378,1:374|2:27,1:1917|2:456
cxcr1_human___808,3072,420,1,3072,1:350|2:70,1:1961|2:2024
ccr8_human___1514,2258,391,1,2258,1:355|2:36,1:1957|2:483
pkr1_human___1681,2070,410,1,2070,1:393|2:17,1:1850|2:23
gpr75_human___4057,2133,560,1,2133,1:540|2:20,1:1074|2:91
lgr5_human___5654,2048,920,1,2048,1:907|2:13,1:771|2:1
cml1_human___1681,2070,390,1,2070,1:373|2:17,1:1794|2:23
ackr1_human___819,3507,409,1,3507,1:336|2:73,1:1631|2:2032
oprm_human___1681,2070,417,1,2070,1:400|2:17,1:1895|2:23
glp2r_human___1140,2476,586,1,2476,1:553|2:33,1:1697|2:695
pkr2_human___921,2167,422,1,2167,1:384|2:38,1:1864|2:188
cxcr6_human___681,2331,379,1,2331,1:342|2:37,1:1888|2:460
xcr1_human___644,2057,342,1,2057,1:333|2:9,1:1964|2:10
lgr5_human___1458,2136,929,1,2136,1:907|2:22,1:785|2:107
ccr3_human___776,3072,426,1,3072,1:355|2:71,1:1964|2:2039
crfr2_human___3643,2099,438,1,2099,1:411|2:27,1:1694|2:104
ackr2_human___646,2055,392,1,2055,1:384|2:8,1:1973|2:8
cxcr1_human___3700,3072,565,1,3072,1:350|2:215,1:1948|2:1513
ccr5_human___819,3072,425,1,3072,1:352|2:73,1:1968|2:2035
c5ar2_human___574,3244,410,1,3244,1:337|2:73,1:1749|2:1455
npy4r_human___5654,2048,388,1,2048,1:375|2:13,1:1781|2:1
c5ar2_human___1997,2445,364,1,2445,1:337|2:27,1:1741|2:575
c5ar1_human___5654,2048,363,1,2048,1:350|2:13,1:1735|2:1
calrl_human___3700,3072,676,1,3072,1:461|2:215,1:1604|2:1474
ccr6_human___808,3072,444,1,3072,1:374|2:70,1:1924|2:2024
ackr1_human___758,3482,404,1,3482,1:336|2:68,1:1639|2:2032
ccr1_human___798,3072,424,1,3072,1:355|2:69,1:1965|2:2032
npy5r_human___1504,2250,481,1,2250,1:445|2:36,1:1009|2:514
cxcr5_human___758,3072,440,1,3072,1:372|2:68,1:1967|2:2031
pkr1_human___687,2316,430,1,2316,1:393|2:37,1:1848|2:435
calrl_human___3645,3072,548,1,3072,1:461|2:87,1:1621|2:2019
ccr5_human___2098,2067,363,1,2067,1:352|2:11,1:1928|2:20
lgr5_human___1298,2147,926,1,2147,1:907|2:19,1:792|2:129
npy1r_human___2098,2067,395,1,2067,1:384|2:11,1:1786|2:20
gpr75_human___613,2082,550,1,2082,1:540|2:10,1:1069|2:34
npy2r_human___1458,2135,403,1,2135,1:381|2:22,1:1906|2:107
ackr4_human___3570,3072,585,1,3072,1:350|2:235,1:1989|2:1932
ccr8_human___1152,2422,383,1,2422,1:355|2:28,1:1954|2:510
fpr1_human___3935,2108,371,1,2108,1:350|2:21,1:1767|2:77
ox1r_human___1152,2418,453,1,2418,1:425|2:28,1:1262|2:511
cml1_human___3592,2223,403,1,2223,1:373|2:30,1:1809|2:295
ccr10_human___1790,2350,398,1,2350,1:362|2:36,1:1929|2:406
cml2_human___3700,3072,570,1,3072,1:355|2:215,1:1935|2:1524
npy5r_human___1157,2108,454,1,2108,1:445|2:9,1:1006|2:60
calrl_human___3935,2108,482,1,2108,1:461|2:21,1:1514|2:77
ackr1_human___3645,3546,423,1,3546,1:336|2:87,1:1625|2:2023
cxcr4_human___4358,3391,420,1,3391,1:352|2:68,1:1939|2:1585
ccr5_human___776,3072,423,1,3072,1:352|2:71,1:1952|2:2039
oprm_human___1162,2077,410,1,2077,1:400|2:10,1:1895|2:30
ccr3_human___2270,2403,399,1,2403,1:355|2:44,1:1962|2:755
npy1r_human___771,3072,460,1,3072,1:384|2:76,1:1818|2:2028
hrh4_human___3633,2606,429,1,2606,1:390|2:39,1:1217|2:861
lgr4_human___2019,2155,965,1,2155,1:951|2:14,1:757|2:107
ccr10_human___1643,2296,393,1,2296,1:362|2:31,1:1927|2:349
ccr9_human___855,2138,594,1,2138,1:369|2:225,1:1979|2:273
ackr1_human___989,2212,357,1,2212,1:336|2:21,1:1581|2:214
pkr2_human___1681,2070,401,1,2070,1:384|2:17,1:1861|2:23
ackr3_human___921,2168,400,1,2168,1:362|2:38,1:1956|2:188
fzd1_human___1320,2127,660,1,2127,1:647|2:13,1:1316|2:103
par4_human___3570,3072,620,1,3072,1:385|2:235,1:1950|2:1929
lgr5_human___1997,2435,934,1,2435,1:907|2:27,1:878|2:575
cxcr2_human___1099,2150,388,1,2150,1:360|2:28,1:1947|2:160
npy1r_human___1871,2116,404,1,2116,1:384|2:20,1:1786|2:77
par4_human___2270,2407,429,1,2407,1:385|2:44,1:1951|2:755
ccr10_human___3646,3549,450,1,3549,1:362|2:88,1:1951|2:1812
c5ar2_human___3935,2108,358,1,2108,1:337|2:21,1:1737|2:77
ackr1_human___1579,2083,349,1,2083,1:336|2:13,1:1577|2:36
ccr9_human___2168,2101,378,1,2101,1:369|2:9,1:1976|2:53
cxcr1_human___821,3072,427,1,3072,1:350|2:77,1:1949|2:2023
cxcr5_human___1136,2484,401,1,2484,1:372|2:29,1:1965|2:701
cxcr2_human___687,2317,397,1,2317,1:360|2:37,1:1954|2:432
ccr10_human___687,2317,399,1,2317,1:362|2:37,1:1934|2:432
par4_human___1458,2136,407,1,2136,1:385|2:22,1:1949|2:107
fzd1_human___612,2192,674,1,2192,1:647|2:27,1:1332|2:198
cxcr1_human___1790,2350,386,1,2350,1:350|2:36,1:1946|2:406
c3ar_human___1643,2297,513,1,2297,1:482|2:31,1:1013|2:362
cx3c1_human___5654,2048,368,1,2048,1:355|2:13,1:1971|2:1
pkr1_human___1470,2205,418,1,2205,1:393|2:25,1:1852|2:194
glp2r_human___2257,2369,580,1,2369,1:553|2:27,1:1693|2:459
crfr2_human___2168,2101,420,1,2101,1:411|2:9,1:1689|2:53
c5ar1_human___574,3244,423,1,3244,1:350|2:73,1:1752|2:1455
galr1_human___3700,3072,564,1,3072,1:349|2:215,1:1861|2:1494
oprm_human___3548,3072,719,1,3072,1:400|2:319,1:1919|2:1842
npy4r_human___687,2314,412,1,2314,1:375|2:37,1:1799|2:435
fzd6_human___3735,2115,724,1,2115,1:706|2:18,1:1369|2:68
ccr3_human___1790,2348,391,1,2348,1:355|2:36,1:1947|2:407
calrl_human___1152,2421,489,1,2421,1:461|2:28,1:1537|2:510
ccr3_human___3647,3072,448,1,3072,1:355|2:93,1:1983|2:1993
c5ar1_human___1495,2116,373,1,2116,1:350|2:23,1:1735|2:89
fzd6_human___3542,2409,748,1,2409,1:706|2:42,1:1427|2:588
npy5r_human___3570,3072,680,1,3072,1:445|2:235,1:983|2:1924
ccr4_human___798,3072,429,1,3072,1:360|2:69,1:1978|2:2032
ccr1_human___771,3072,431,1,3072,1:355|2:76,1:1958|2:2022
cxcr3_human___821,3072,445,1,3072,1:368|2:77,1:1996|2:2021
ccr3_human___4358,3388,423,1,3388,1:355|2:68,1:1957|2:1589
cxcr3_human___3646,3549,456,1,3549,1:368|2:88,1:1994|2:1812
glp1r_human___1136,2470,492,1,2470,1:463|2:29,1:1713|2:708
lgr6_human___1333,2080,978,1,2080,1:967|2:11,1:805|2:33
fzd2_human___1490,2087,585,1,2087,1:565|2:20,1:1297|2:41
acthr_human___1272,3072,394,1,3072,1:297|2:97,1:1820|2:2031
hrh4_human___3700,3072,605,1,3072,1:390|2:215,1:1239|2:1450
cxcr1_human___758,3072,418,1,3072,1:350|2:68,1:1950|2:2031
ackr2_human___808,3072,454,1,3072,1:384|2:70,1:1978|2:2024
ccr1_human___646,2055,363,1,2055,1:355|2:8,1:1938|2:8
cxcr2_human___819,3072,433,1,3072,1:360|2:73,1:1952|2:2036
c5ar2_human___921,2167,375,1,2167,1:337|2:38,1:1738|2:188
calrl_human___3548,3072,780,1,3072,1:461|2:319,1:1610|2:1851
lgr5_human___921,2167,945,1,2167,1:907|2:38,1:814|2:188
ackr1_human___3647,3583,429,1,3583,1:336|2:93,1:1624|2:1987
fzd2_human___758,3072,633,1,3072,1:565|2:68,1:1571|2:2032
xcr1_human___3542,2421,375,1,2421,1:333|2:42,1:1963|2:578
lgr4_human___776,3072,1022,1,3072,1:951|2:71,1:1244|2:2039
ackr4_human___1099,2150,378,1,2150,1:350|2:28,1:1988|2:160
c5ar1_human___646,2055,358,1,2055,1:350|2:8,1:1735|2:8
crfr1_human___1514,2259,451,1,2259,1:415|2:36,1:1707|2:481
hrh4_human___1140,2480,423,1,2480,1:390|2:33,1:1187|2:690
ccr6_human___855,2138,599,1,2138,1:374|2:225,1:1917|2:272
lgr5_human___1140,2479,940,1,2479,1:907|2:33,1:906|2:690
pkr1_human___989,2178,414,1,2178,1:393|2:21,1:1847|2:216
ccr6_human___758,3072,442,1,3072,1:374|2:68,1:1920|2:2033
crfr1_human___3700,3072,630,1,3072,1:415|2:215,1:1787|2:1482
c5ar1_human___3592,2223,380,1,2223,1:350|2:30,1:1740|2:295
fzd2_human___681,2331,602,1,2331,1:565|2:37,1:1347|2:461
c5ar2_human___1047,2106,361,1,2106,1:337|2:24,1:1737|2:76
ccr5_human___1699,2166,380,1,2166,1:352|2:28,1:1930|2:196
ackr3_human___5336,2192,385,1,2192,1:362|2:23,1:1955|2:167
ccr6_human___5654,2048,387,1,2048,1:374|2:13,1:1917|2:1
c5ar1_human___3700,3072,565,1,3072,1:350|2:215,1:1768|2:1499
galr3_human___1157,2108,377,1,2108,1:368|2:9,1:1760|2:60
ccr5_human___3645,3072,439,1,3072,1:352|2:87,1:1970|2:2020
npy1r_human___2090,2084,394,1,2084,1:384|2:10,1:1786|2:37
c3ar_human___798,3072,551,1,3072,1:482|2:69,1:945|2:2033
galr1_human___2945,3211,483,1,3211,1:349|2:134,1:1842|2:1338
fpr1_human___3570,3072,585,1,3072,1:350|2:235,1:1817|2:1929
ccr9_human___817,3692,496,1,3692,1:369|2:127,1:1980|2:1396
glr_human___758,3072,545,1,3072,1:477|2:68,1:1691|2:2032
cxcr5_human___3570,3072,607,1,3072,1:372|2:235,1:1967|2:1924
ccr3_human___798,3072,424,1,3072,1:355|2:69,1:1971|2:2033
ccr7_human___1490,2087,398,1,2087,1:378|2:20,1:1906|2:41
ccr1_human___776,3072,426,1,3072,1:355|2:71,1:1953|2:2040
fzd6_human___921,2167,744,1,2167,1:706|2:38,1:1387|2:188
glp1r_human___1152,2418,491,1,2418,1:463|2:28,1:1710|2:512
crfr2_human___1272,3072,508,1,3072,1:411|2:97,1:1812|2:2030
par4_human___1298,2150,404,1,2150,1:385|2:19,1:1949|2:129
ackr3_human___2257,2377,389,1,2377,1:362|2:27,1:1955|2:456
ccr4_human___758,3072,428,1,3072,1:360|2:68,1:1978|2:2033
lgr4_human___5654,2048,964,1,2048,1:951|2:13,1:757|2:1
ox1r_human___758,3072,493,1,3072,1:425|2:68,1:1323|2:2032
npy2r_human___1479,2059,389,1,2059,1:381|2:8,1:1906|2:12
ccr5_human___1136,2485,381,1,2485,1:352|2:29,1:1933|2:700
ccr7_human___810,3072,455,1,3072,1:378|2:77,1:1931|2:2025
pkr1_human___1004,2162,414,1,2162,1:393|2:21,1:1850|2:139
glp1r_human___1333,2080,474,1,2080,1:463|2:11,1:1700|2:33
cxcr3_human___2098,2067,379,1,2067,1:368|2:11,1:1990|2:20
glp2r_human___3646,3515,641,1,3515,1:553|2:88,1:1715|2:1836
cxcr5_human___821,3072,449,1,3072,1:372|2:77,1:1966|2:2022
cxcr4_human___646,2055,360,1,2055,1:352|2:8,1:1938|2:8
cml2_human___644,2057,364,1,2057,1:355|2:9,1:1855|2:10
ccr1_human___2098,2067,366,1,2067,1:355|2:11,1:1938|2:20
ccr3_human___2019,2155,369,1,2155,1:355|2:14,1:1943|2:107
ccr4_human___681,2331,397,1,2331,1:360|2:37,1:1969|2:460
npy1r_human___921,2167,422,1,2167,1:384|2:38,1:1789|2:188
c3ar_human___2019,2155,496,1,2155,1:482|2:14,1:1010|2:107
npy2r_human___861,2048,385,1,2048,1:381|2:4,1:1906|2:1
calrl_human___4057,2132,481,1,2132,1:461|2:20,1:1514|2:91
glr_human___3643,2093,504,1,2093,1:477|2:27,1:1644|2:104
ccr5_human___758,3072,420,1,3072,1:352|2:68,1:1951|2:2029
npy5r_human___5895,2153,471,1,2153,1:445|2:26,1:1042|2:218
lgr5_human___3606,2383,925,1,2383,1:907|2:18,1:832|2:456
cml2_human___3592,2223,385,1,2223,1:355|2:30,1:1866|2:295
npy5r_human___3643,2099,472,1,2099,1:445|2:27,1:1021|2:104
cx3c1_human___921,2168,393,1,2168,1:355|2:38,1:1974|2:188
galr3_human___3594,2226,428,1,2226,1:368|2:60,1:1768|2:234
glp2r_human___3542,2410,595,1,2410,1:553|2:42,1:1699|2:588
fzd6_human___681,2331,743,1,2331,1:706|2:37,1:1418|2:461
cxcr6_human___855,2138,567,1,2138,1:342|2:225,1:1889|2:273
glp1r_human___4358,3395,531,1,3395,1:463|2:68,1:1715|2:1589
ox1r_human___1157,2108,434,1,2108,1:425|2:9,1:1224|2:60
ccr10_human___3640,3072,439,1,3072,1:362|2:77,1:1969|2:1952
fzd1_human___1490,2087,667,1,2087,1:647|2:20,1:1309|2:41
ccr9_human___808,3072,439,1,3072,1:369|2:70,1:1995|2:2024
cxcr4_human___921,2168,390,1,2168,1:352|2:38,1:1938|2:188
ccr10_human___3700,3072,577,1,3072,1:362|2:215,1:1955|2:1524
ccr2_human___754,3072,466,1,3072,1:374|2:92,1:1972|2:2012
ccr6_human___1152,2423,402,1,2423,1:374|2:28,1:1917|2:510
ackr1_human___1470,2208,361,1,2208,1:336|2:25,1:1582|2:190
cml1_human___574,3244,446,1,3244,1:373|2:73,1:1844|2:1455
cxcr4_human___758,3072,420,1,3072,1:352|2:68,1:1944|2:2034
ox1r_human___1871,2116,445,1,2116,1:425|2:20,1:1226|2:77
xcr1_human___3647,3072,426,1,3072,1:333|2:93,1:1977|2:1989
cml2_human___646,2055,363,1,2055,1:355|2:8,1:1855|2:8
cxcr6_human___2156,2121,350,1,2121,1:342|2:8,1:1883|2:73
gpr75_human___2090,2084,550,1,2084,1:540|2:10,1:1069|2:37
fzd1_human___644,2057,656,1,2057,1:647|2:9,1:1309|2:10
fzd6_human___3594,2225,766,1,2225,1:706|2:60,1:1392|2:234
crfr1_human___2257,2377,442,1,2377,1:415|2:27,1:1691|2:457
ackr1_human___1458,2137,358,1,2137,1:336|2:22,1:1581|2:107
galr3_human___3643,2099,395,1,2099,1:368|2:27,1:1765|2:102
fpr1_human___1157,2108,359,1,2108,1:350|2:9,1:1767|2:60
fzd2_human___921,2167,603,1,2167,1:565|2:38,1:1321|2:188
ccr9_human___798,3072,438,1,3072,1:369|2:69,1:1993|2:2033
cxcr6_human___1320,2127,355,1,2127,1:342|2:13,1:1884|2:101
xcr1_human___1790,2348,369,1,2348,1:333|2:36,1:1964|2:407
par4_human___574,3244,458,1,3244,1:385|2:73,1:1952|2:1455
ackr3_human___1004,2163,383,1,2163,1:362|2:21,1:1954|2:139
cxcr3_human___3645,3072,455,1,3072,1:368|2:87,1:1998|2:2019
ccr2_human___771,3072,450,1,3072,1:374|2:76,1:1968|2:2020
cxcr6_human___810,3072,419,1,3072,1:342|2:77,1:1918|2:2026
cxcr1_human___798,3072,419,1,3072,1:350|2:69,1:1959|2:2033
lgr6_human___1157,2108,976,1,2108,1:967|2:9,1:805|2:60
galr3_human___613,2082,378,1,2082,1:368|2:10,1:1760|2:34
cxcr3_human___1790,2350,404,1,2350,1:368|2:36,1:1988|2:406
cxcr3_human___2257,2378,395,1,2378,1:368|2:27,1:1989|2:456
