identifier,msa_dim0,msa_dim1,num_templates,num_alignments,chain_lengths,msa_seq_lengths
pacr_human___3570,3072,703,1,3072,1:468|2:235,1:1353|2:1924
gipr_human___1320,2127,479,1,2127,1:466|2:13,1:1689|2:101
vipr1_human___1152,2418,485,1,2418,1:457|2:28,1:1711|2:512
ghrhr_human___1152,2418,451,1,2418,1:423|2:28,1:1804|2:512
fshr_human___3633,2596,734,1,2596,1:695|2:39,1:1230|2:868
fzd1_human___1320,2127,660,1,2127,1:647|2:13,1:1316|2:103
ackr1_human___856,3837,709,1,3837,1:336|2:373,1:1602|2:285
fzd1_human___612,2192,674,1,2192,1:647|2:27,1:1332|2:198
cx3c1_human___5654,2048,368,1,2048,1:355|2:13,1:1971|2:1
gipr_human___798,3072,535,1,3072,1:466|2:69,1:1779|2:2033
fzd6_human___3735,2115,724,1,2115,1:706|2:18,1:1369|2:68
vipr2_human___1283,2074,448,1,2074,1:438|2:10,1:1675|2:27
ccr9_human___856,3508,742,1,3508,1:369|2:373,1:1987|2:322
fzd6_human___3542,2409,748,1,2409,1:706|2:42,1:1427|2:588
calcr_human___3935,2108,495,1,2108,1:474|2:21,1:1494|2:77
ghrhr_human___3643,2093,450,1,2093,1:423|2:27,1:1801|2:104
ghrhr_human___1272,3072,520,1,3072,1:423|2:97,1:1862|2:2031
pacr_human___1140,2482,501,1,2482,1:468|2:33,1:1248|2:690
vipr2_human___1047,2106,462,1,2106,1:438|2:24,1:1675|2:76
fzd2_human___856,3460,938,1,3460,1:565|2:373,1:1478|2:323
ccr6_human___856,3508,747,1,3508,1:374|2:373,1:1919|2:322
pth1r_human___2257,2376,620,1,2376,1:593|2:27,1:1359|2:457
ghrhr_human___2257,2373,450,1,2373,1:423|2:27,1:1806|2:458
gipr_human___1298,2146,485,1,2146,1:466|2:19,1:1690|2:129
vipr1_human___921,2167,495,1,2167,1:457|2:38,1:1706|2:188
pth1r_human___3542,2417,635,1,2417,1:593|2:42,1:1371|2:584
pacr_human___2270,2396,512,1,2396,1:468|2:44,1:1295|2:766
calcr_human___1140,2482,507,1,2482,1:474|2:33,1:1524|2:690
vipr1_human___3542,2411,499,1,2411,1:457|2:42,1:1717|2:588
gipr_human___3594,2225,526,1,2225,1:466|2:60,1:1691|2:234
pth1r_human___3594,2225,653,1,2225,1:593|2:60,1:1354|2:234
cx3c1_human___921,2168,393,1,2168,1:355|2:38,1:1974|2:188
calcr_human___3643,2099,501,1,2099,1:474|2:27,1:1497|2:104
pth2r_human___5895,2149,576,1,2149,1:550|2:26,1:1692|2:220
pth1r_human___1152,2421,621,1,2421,1:593|2:28,1:1357|2:510
fzd1_human___1490,2087,667,1,2087,1:647|2:20,1:1309|2:41
vipr2_human___921,2167,476,1,2167,1:438|2:38,1:1679|2:188
calcr_human___3700,3072,689,1,3072,1:474|2:215,1:1604|2:1485
pth2r_human___1162,2077,560,1,2077,1:550|2:10,1:1685|2:30
vipr1_human___1871,2116,477,1,2116,1:457|2:20,1:1701|2:77
pth1r_human___855,2144,818,1,2144,1:593|2:225,1:1368|2:260
fshr_human___612,2192,722,1,2192,1:695|2:27,1:1165|2:198
fzd1_human___644,2057,656,1,2057,1:647|2:9,1:1309|2:10
fzd6_human___3594,2225,766,1,2225,1:706|2:60,1:1392|2:234
pacr_human___2257,2376,495,1,2376,1:468|2:27,1:1227|2:457
vipr2_human___1152,2421,466,1,2421,1:438|2:28,1:1680|2:510
calcr_human___2257,2376,501,1,2376,1:474|2:27,1:1503|2:457
fzd6_human___646,2055,714,1,2055,1:706|2:8,1:1369|2:8
cx3c1_human___817,3682,482,1,3682,1:355|2:127,1:1978|2:1384
gp107_human___856,3505,973,1,3505,1:600|2:373,1:886|2:322
pth2r_human___1152,2418,578,1,2418,1:550|2:28,1:1693|2:512
ccr7_human___856,3508,751,1,3508,1:378|2:373,1:1928|2:322
cx3c1_human___2257,2373,382,1,2373,1:355|2:27,1:1974|2:457
vipr2_human___1136,2472,467,1,2472,1:438|2:29,1:1685|2:704
fzd1_human___921,2167,685,1,2167,1:647|2:38,1:1336|2:188
gipr_human___1136,2470,495,1,2470,1:466|2:29,1:1698|2:708
vipr1_human___808,3072,527,1,3072,1:457|2:70,1:1804|2:2025
gipr_human___1790,2341,502,1,2341,1:466|2:36,1:1695|2:414
fzd6_human___3548,3072,1025,1,3072,1:706|2:319,1:1540|2:1821
cx3c1_human___856,3468,728,1,3468,1:355|2:373,1:1985|2:322
gpr39_human___856,3461,826,1,3461,1:453|2:373,1:1502|2:323
fshr_human___1157,2108,704,1,2108,1:695|2:9,1:1140|2:60
pacr_human___1790,2343,504,1,2343,1:468|2:36,1:1225|2:413
pth2r_human___1099,2150,578,1,2150,1:550|2:28,1:1688|2:160
vipr1_human___1140,2480,490,1,2480,1:457|2:33,1:1718|2:695
pacr_human___821,3072,545,1,3072,1:468|2:77,1:1428|2:2023
pacr_human___3643,2099,495,1,2099,1:468|2:27,1:1215|2:104
pth1r_human___1283,2074,603,1,2074,1:593|2:10,1:1348|2:27
pth1r_human___1871,2116,613,1,2116,1:593|2:20,1:1348|2:77
fshr_human___4358,3389,763,1,3389,1:695|2:68,1:1238|2:1591
calcr_human___1099,2150,502,1,2150,1:474|2:28,1:1497|2:160
fzd1_human___989,2176,668,1,2176,1:647|2:21,1:1334|2:217
ghrhr_human___758,3072,491,1,3072,1:423|2:68,1:1855|2:2031
pth1r_human___3643,2099,620,1,2099,1:593|2:27,1:1352|2:104
pth2r_human___1867,3072,652,1,3072,1:550|2:102,1:1743|2:1268
fshr_human___1495,2116,718,1,2116,1:695|2:23,1:1148|2:89
pth1r_human___1140,2482,626,1,2482,1:593|2:33,1:1374|2:690
ghrhr_human___1867,3072,525,1,3072,1:423|2:102,1:1914|2:1267
fzd6_human___3646,3485,794,1,3485,1:706|2:88,1:1533|2:1854
pacr_human___3594,2225,528,1,2225,1:468|2:60,1:1224|2:234
fzd6_human___644,2057,715,1,2057,1:706|2:9,1:1369|2:10
pth1r_human___1790,2343,629,1,2343,1:593|2:36,1:1357|2:413
fshr_human___3643,2099,722,1,2099,1:695|2:27,1:1163|2:104
fzd1_human___3548,3072,966,1,3072,1:647|2:319,1:1523|2:1831
pth1r_human___3645,3072,680,1,3072,1:593|2:87,1:1498|2:2019
vipr1_human___3640,3072,534,1,3072,1:457|2:77,1:1810|2:1959
cx3c1_human___644,2057,364,1,2057,1:355|2:9,1:1971|2:10
ghrhr_human___613,2082,433,1,2082,1:423|2:10,1:1792|2:34
calcr_human___1152,2421,502,1,2421,1:474|2:28,1:1505|2:510
fshr_human___2270,2392,739,1,2392,1:695|2:44,1:1286|2:766
fshr_human___1997,2434,722,1,2434,1:695|2:27,1:1202|2:575
gipr_human___3542,2411,508,1,2411,1:466|2:42,1:1699|2:588
gipr_human___3643,2093,493,1,2093,1:466|2:27,1:1691|2:104
vipr2_human___1140,2482,471,1,2482,1:438|2:33,1:1686|2:690
fzd1_human___2945,3180,781,1,3180,1:647|2:134,1:1449|2:1378
fzd1_human___681,2331,684,1,2331,1:647|2:37,1:1365|2:461
fzd6_human___808,3072,776,1,3072,1:706|2:70,1:1655|2:2026
calcr_human___921,2167,512,1,2167,1:474|2:38,1:1498|2:188
cx3c1_human___798,3072,424,1,3072,1:355|2:69,1:1986|2:2032
