Model,GPCR,AgonistRank,unseen,class
AF2 RIA energy (no templates),prlhr_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),lgr6_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),npy4r_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),nk1r_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),rl3r1_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ghsr_human,2,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),cxcr2_human,1,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),ccr1_human,7,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),mrgx2_human,7,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ssr3_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),npy2r_human,3,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),grpr_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),cxcr5_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ackr3_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),c3ar_human,1,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),agtr1_human,1,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),cxcr1_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),npy5r_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),mc5r_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),cxcr3_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),fpr2_human,5,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),pkr1_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),mchr2_human,5,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),ccr10_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),apj_human,2,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),ox2r_human,1,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),ox1r_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),npy1r_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),gpr37_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),v2r_human,1,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),cml1_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),oprm_human,3,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),mc3r_human,5,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),cml2_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),bkrb2_human,4,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),fpr1_human,9,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),fpr3_human,4,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),g37l1_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),gasr_human,4,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),oprd_human,3,False,Class A (Rhodopsin)
AF2 RIA energy (no templates),bkrb1_human,2,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),gpr39_human,8,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),pkr2_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),v1br_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),gnrhr_human,6,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),par4_human,1,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),acthr_human,9,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),mrgx1_human,3,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),npsr1_human,3,True,Class A (Rhodopsin)
AF2 RIA energy (no templates),hrh4_human,6,True,Class A (Rhodopsin)
AF2 (no templates),ednrb_human,1,False,Class A (Rhodopsin)
AF2 (no templates),ednra_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ccr5_human,1,False,Class A (Rhodopsin)
AF2 (no templates),v1ar_human,1,True,Class A (Rhodopsin)
AF2 (no templates),galr2_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ccr4_human,1,True,Class A (Rhodopsin)
AF2 (no templates),c5ar1_human,2,True,Class A (Rhodopsin)
AF2 (no templates),c5ar2_human,1,True,Class A (Rhodopsin)
AF2 (no templates),npy2r_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ssr2_human,1,True,Class A (Rhodopsin)
AF2 (no templates),v2r_human,1,False,Class A (Rhodopsin)
AF2 (no templates),ur2r_human,1,True,Class A (Rhodopsin)
AF2 (no templates),agtr2_human,1,False,Class A (Rhodopsin)
AF2 (no templates),oxyr_human,1,True,Class A (Rhodopsin)
AF2 (no templates),mtlr_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ackr2_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ntr2_human,2,True,Class A (Rhodopsin)
AF2 (no templates),oprk_human,5,True,Class A (Rhodopsin)
AF2 (no templates),npy4r_human,1,True,Class A (Rhodopsin)
AF2 (no templates),npy5r_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ccr6_human,1,False,Class A (Rhodopsin)
AF2 (no templates),ackr4_human,2,True,Class A (Rhodopsin)
AF2 (no templates),cxcr4_human,1,True,Class A (Rhodopsin)
AF2 (no templates),kissr_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ssr5_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ccr2_human,1,True,Class A (Rhodopsin)
AF2 (no templates),nmbr_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ackr1_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ccr1_human,4,True,Class A (Rhodopsin)
AF2 (no templates),nk3r_human,1,True,Class A (Rhodopsin)
AF2 (no templates),galr3_human,3,True,Class A (Rhodopsin)
AF2 (no templates),ccr10_human,4,True,Class A (Rhodopsin)
AF2 (no templates),ackr3_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ssr3_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ccr7_human,1,True,Class A (Rhodopsin)
AF2 (no templates),cxcr2_human,1,False,Class A (Rhodopsin)
AF2 (no templates),cckar_human,1,False,Class A (Rhodopsin)
AF2 (no templates),ccr8_human,1,True,Class A (Rhodopsin)
AF2 (no templates),pkr2_human,1,True,Class A (Rhodopsin)
AF2 (no templates),npbw1_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ccr9_human,3,True,Class A (Rhodopsin)
AF2 (no templates),pkr1_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ghsr_human,6,False,Class A (Rhodopsin)
AF2 (no templates),apj_human,1,False,Class A (Rhodopsin)
AF2 (no templates),cxcr1_human,1,True,Class A (Rhodopsin)
AF2 (no templates),galr1_human,2,True,Class A (Rhodopsin)
AF2 (no templates),ccr3_human,2,True,Class A (Rhodopsin)
AF2 (no templates),nk1r_human,1,True,Class A (Rhodopsin)
AF2 (no templates),mchr1_human,1,True,Class A (Rhodopsin)
AF2 (no templates),npy1r_human,1,True,Class A (Rhodopsin)
AF2 (no templates),lgr6_human,6,True,Class A (Rhodopsin)
AF2 (no templates),qrfpr_human,1,True,Class A (Rhodopsin)
AF2 (no templates),lgr4_human,7,True,Class A (Rhodopsin)
AF2 (no templates),npff1_human,1,True,Class A (Rhodopsin)
AF2 (no templates),cxcr3_human,4,True,Class A (Rhodopsin)
AF2 (no templates),prlhr_human,1,True,Class A (Rhodopsin)
AF2 (no templates),oprx_human,1,True,Class A (Rhodopsin)
AF2 (no templates),agtr1_human,2,False,Class A (Rhodopsin)
AF2 (no templates),ssr4_human,1,True,Class A (Rhodopsin)
AF2 (no templates),lgr5_human,5,True,Class A (Rhodopsin)
AF2 (no templates),c3ar_human,1,False,Class A (Rhodopsin)
AF2 (no templates),npbw2_human,2,True,Class A (Rhodopsin)
AF2 (no templates),cxcr5_human,3,True,Class A (Rhodopsin)
AF2 (no templates),bkrb2_human,3,True,Class A (Rhodopsin)
AF2 (no templates),nmur2_human,3,True,Class A (Rhodopsin)
AF2 (no templates),mchr2_human,1,True,Class A (Rhodopsin)
AF2 (no templates),mrgx2_human,3,True,Class A (Rhodopsin)
AF2 (no templates),npff2_human,1,True,Class A (Rhodopsin)
AF2 (no templates),fpr2_human,6,False,Class A (Rhodopsin)
AF2 (no templates),ntr1_human,2,False,Class A (Rhodopsin)
AF2 (no templates),cx3c1_human,3,True,Class A (Rhodopsin)
AF2 (no templates),bkrb1_human,1,True,Class A (Rhodopsin)
AF2 (no templates),mc4r_human,1,False,Class A (Rhodopsin)
AF2 (no templates),par4_human,1,True,Class A (Rhodopsin)
AF2 (no templates),v1br_human,1,True,Class A (Rhodopsin)
AF2 (no templates),gpr75_human,11,True,Class A (Rhodopsin)
AF2 (no templates),cml2_human,3,True,Class A (Rhodopsin)
AF2 (no templates),nmur1_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ox2r_human,3,False,Class A (Rhodopsin)
AF2 (no templates),nk2r_human,1,True,Class A (Rhodopsin)
AF2 (no templates),rl3r1_human,1,True,Class A (Rhodopsin)
AF2 (no templates),cml1_human,3,True,Class A (Rhodopsin)
AF2 (no templates),ox1r_human,2,True,Class A (Rhodopsin)
AF2 (no templates),trfr_human,1,True,Class A (Rhodopsin)
AF2 (no templates),ssr1_human,2,True,Class A (Rhodopsin)
AF2 (no templates),gasr_human,1,True,Class A (Rhodopsin)
AF2 (no templates),oprd_human,1,False,Class A (Rhodopsin)
AF2 (no templates),fpr3_human,5,True,Class A (Rhodopsin)
AF2 (no templates),cxcr6_human,3,True,Class A (Rhodopsin)
AF2 (no templates),oprm_human,7,True,Class A (Rhodopsin)
AF2 (no templates),mshr_human,1,False,Class A (Rhodopsin)
AF2 (no templates),mc5r_human,1,True,Class A (Rhodopsin)
AF2 (no templates),gnrhr_human,2,True,Class A (Rhodopsin)
AF2 (no templates),gpr39_human,4,True,Class A (Rhodopsin)
AF2 (no templates),xcr1_human,2,True,Class A (Rhodopsin)
AF2 (no templates),grpr_human,4,True,Class A (Rhodopsin)
AF2 (no templates),npsr1_human,8,True,Class A (Rhodopsin)
AF2 (no templates),fpr1_human,4,True,Class A (Rhodopsin)
AF2 (no templates),fshr_human,4,True,Class A (Rhodopsin)
AF2 (no templates),mrgx1_human,2,True,Class A (Rhodopsin)
AF2 (no templates),acthr_human,8,True,Class A (Rhodopsin)
AF2 (no templates),mc3r_human,3,True,Class A (Rhodopsin)
AF2 (no templates),hrh4_human,11,True,Class A (Rhodopsin)
AF2 (no templates),gpr37_human,4,True,Class A (Rhodopsin)
AF2 (no templates),g37l1_human,8,True,Class A (Rhodopsin)
AF2 LIS (no templates),ednrb_human,1,False,Class A (Rhodopsin)
AF2 LIS (no templates),ednra_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),v1ar_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),galr2_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ccr5_human,1,False,Class A (Rhodopsin)
AF2 LIS (no templates),npbw2_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),c5ar1_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),ssr2_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),oxyr_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),npy2r_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ur2r_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),galr1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),nmur2_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ssr5_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),c5ar2_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),oprk_human,4,True,Class A (Rhodopsin)
AF2 LIS (no templates),v2r_human,1,False,Class A (Rhodopsin)
AF2 LIS (no templates),npy5r_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),npy4r_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),agtr2_human,1,False,Class A (Rhodopsin)
AF2 LIS (no templates),ssr3_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),mtlr_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ccr2_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),nmur1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ccr4_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),galr3_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),kissr_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ntr2_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),ccr1_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),cxcr4_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),cckar_human,1,False,Class A (Rhodopsin)
AF2 LIS (no templates),cx3c1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),pkr1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),pkr2_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),mchr1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ccr6_human,2,False,Class A (Rhodopsin)
AF2 LIS (no templates),ccr9_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ackr1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),nk3r_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ackr3_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),npbw1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ssr4_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ccr3_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),ackr4_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ntr1_human,1,False,Class A (Rhodopsin)
AF2 LIS (no templates),nmbr_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),npy1r_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),lgr5_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),npff1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),npff2_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),cxcr5_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ccr10_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),xcr1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ackr2_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),fpr2_human,7,False,Class A (Rhodopsin)
AF2 LIS (no templates),nk1r_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),c3ar_human,1,False,Class A (Rhodopsin)
AF2 LIS (no templates),cxcr1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ccr8_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),lgr4_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),qrfpr_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),cxcr6_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),cml2_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),apj_human,1,False,Class A (Rhodopsin)
AF2 LIS (no templates),cxcr2_human,1,False,Class A (Rhodopsin)
AF2 LIS (no templates),par4_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),fshr_human,8,True,Class A (Rhodopsin)
AF2 LIS (no templates),prlhr_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),lgr6_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ccr7_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ghsr_human,6,False,Class A (Rhodopsin)
AF2 LIS (no templates),oprx_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),cxcr3_human,6,True,Class A (Rhodopsin)
AF2 LIS (no templates),bkrb1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),agtr1_human,2,False,Class A (Rhodopsin)
AF2 LIS (no templates),mc4r_human,1,False,Class A (Rhodopsin)
AF2 LIS (no templates),grpr_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),mchr2_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),cml1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),rl3r1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),bkrb2_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),gpr75_human,11,True,Class A (Rhodopsin)
AF2 LIS (no templates),mrgx2_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),fpr3_human,6,True,Class A (Rhodopsin)
AF2 LIS (no templates),ssr1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),oprm_human,3,True,Class A (Rhodopsin)
AF2 LIS (no templates),v1br_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),fpr1_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),nk2r_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),ox1r_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),npsr1_human,8,True,Class A (Rhodopsin)
AF2 LIS (no templates),trfr_human,4,True,Class A (Rhodopsin)
AF2 LIS (no templates),ox2r_human,4,False,Class A (Rhodopsin)
AF2 LIS (no templates),mshr_human,1,False,Class A (Rhodopsin)
AF2 LIS (no templates),gasr_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),oprd_human,1,False,Class A (Rhodopsin)
AF2 LIS (no templates),gpr39_human,7,True,Class A (Rhodopsin)
AF2 LIS (no templates),mc5r_human,1,True,Class A (Rhodopsin)
AF2 LIS (no templates),gpr37_human,3,True,Class A (Rhodopsin)
AF2 LIS (no templates),gnrhr_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),acthr_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),mrgx1_human,2,True,Class A (Rhodopsin)
AF2 LIS (no templates),mc3r_human,5,True,Class A (Rhodopsin)
AF2 LIS (no templates),hrh4_human,10,True,Class A (Rhodopsin)
AF2 LIS (no templates),g37l1_human,9,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),nk3r_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),galr3_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),galr1_human,2,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ur2r_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),v1ar_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),pkr2_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ccr2_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),npbw2_human,3,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),nk1r_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),galr2_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),c5ar1_human,2,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),oprk_human,7,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),pkr1_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),lgr5_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ntr2_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ednra_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ackr4_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),npbw1_human,2,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ssr2_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),qrfpr_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),kissr_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ccr5_human,1,False,Class A (Rhodopsin)
AF2 RIA sc (no templates),ednrb_human,1,False,Class A (Rhodopsin)
AF2 RIA sc (no templates),c5ar2_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),mc4r_human,1,False,Class A (Rhodopsin)
AF2 RIA sc (no templates),lgr4_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),mc5r_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ccr4_human,2,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ccr9_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),agtr2_human,2,False,Class A (Rhodopsin)
AF2 RIA sc (no templates),oxyr_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),npff2_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ntr1_human,2,False,Class A (Rhodopsin)
AF2 RIA sc (no templates),ccr7_human,3,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),cxcr6_human,3,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ssr3_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),oprx_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),cxcr5_human,2,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),mchr2_human,2,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),nmur2_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ccr6_human,4,False,Class A (Rhodopsin)
AF2 RIA sc (no templates),mtlr_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),cx3c1_human,4,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),npy2r_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ssr5_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ccr1_human,6,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),cxcr1_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),v2r_human,1,False,Class A (Rhodopsin)
AF2 RIA sc (no templates),ccr10_human,3,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ackr1_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),cckar_human,1,False,Class A (Rhodopsin)
AF2 RIA sc (no templates),ccr3_human,2,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),cxcr2_human,1,False,Class A (Rhodopsin)
AF2 RIA sc (no templates),nmur1_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),npy5r_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),mchr1_human,2,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ackr2_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),mshr_human,1,False,Class A (Rhodopsin)
AF2 RIA sc (no templates),nk2r_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),cxcr4_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),agtr1_human,2,False,Class A (Rhodopsin)
AF2 RIA sc (no templates),fshr_human,10,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),cml2_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ccr8_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ackr3_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),ssr4_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),bkrb1_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),grpr_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),npy4r_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),lgr6_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),par4_human,1,True,Class A (Rhodopsin)
AF2 RIA sc (no templates),oprm_human,5,True,Class A (Rhodopsin)
