Model,GPCR,AgonistRank,Class,Model_class
AF2 (no templates),npy4r_human,1.0832215592739494,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),npy5r_human,0.9121816223148596,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),pacr_human,1.04108643443805,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),ccr6_human,1.0346990685962818,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ackr4_human,2.0836172435207057,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),cxcr4_human,0.9074138475101486,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),kissr_human,0.931412649846913,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ssr5_human,1.0339165388709333,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ccr2_human,0.9429289182155025,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ghrhr_human,4.91720645171957,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),nmbr_human,0.9101730197504757,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ackr1_human,0.97015325426105,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),vipr1_human,1.0951132917293485,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),sctr_human,3.927248759672967,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),ccr1_human,4.05658596617202,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),nk3r_human,1.0233935999798311,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),galr3_human,2.933437860731546,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ccr10_human,4.08972862446738,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),vipr2_human,1.0473637730862908,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),ackr3_human,1.0988625398000507,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ssr3_human,0.9144360835638213,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ccr7_human,1.0369941587739393,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),cxcr2_human,0.9874150096527321,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),gipr_human,5.035372763528135,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),cckar_human,1.0484967288395157,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ccr8_human,0.9951062481825044,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),pkr2_human,1.098847576141198,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),npbw1_human,1.0978551786819828,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ccr9_human,3.0479832747889524,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),pth2r_human,0.9212345548391032,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),pkr1_human,0.9764431375651764,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ghsr_human,6.099522341920946,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),apj_human,0.9193994719861672,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),cxcr1_human,1.041670388159893,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),galr1_human,1.9993092234020542,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ccr3_human,1.9832132288821298,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),nk1r_human,0.9696882775734484,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),mchr1_human,0.9924441390627284,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),npy1r_human,0.9960908156399483,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),lgr6_human,6.0290601368407275,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),calcr_human,1.0484762525011608,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),qrfpr_human,1.0933560799982618,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),lgr4_human,6.906540399353791,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),npff1_human,1.0074983821103372,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),cxcr3_human,4.051506026931487,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),prlhr_human,1.083567410240759,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),oprx_human,1.0721720484906312,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),crfr2_human,1.0853799521769014,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),agtr1_human,1.9860656173849474,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ssr4_human,1.0973409012342308,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),lgr5_human,4.924959747438239,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),c3ar_human,0.9945322984261684,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),npbw2_human,2.0908280489593443,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),cxcr5_human,2.916626361710355,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),bkrb2_human,2.9580406120387392,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),crfr1_human,1.0301041127557644,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin)
AF2 (no templates),nmur2_human,2.9006394411708842,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),mchr2_human,0.9156191986105412,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),mrgx2_human,2.97151324032187,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),npff2_human,0.9424907418977894,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),fpr2_human,6.09914681435684,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ntr1_human,1.9016614208435816,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),cx3c1_human,3.0396612377208445,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),bkrb1_human,1.0788876100340445,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),mc4r_human,1.0503332338582183,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),par4_human,0.9788735799738495,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),v1br_human,0.9884264232621722,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),gpr75_human,10.973577107973622,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),cml2_human,3.056424160374164,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),nmur1_human,1.0620663592980302,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),fzd1_human,1.9222105539886138,Class F (Frizzled),AF2 (no templates) Class F (Frizzled)
AF2 (no templates),ox2r_human,3.084220001046066,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),nk2r_human,0.9275978168110697,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),rl3r1_human,0.9519914591340121,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),cml1_human,2.9020776544379796,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ox1r_human,2.0098005029794894,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),trfr_human,1.0560652378372053,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),ssr1_human,2.0134600398504108,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),gasr_human,1.0250497382677906,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),oprd_human,0.9554107134931789,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),fpr3_human,5.021638443432352,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),cxcr6_human,2.9980967518839945,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),oprm_human,7.077888487507871,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),mshr_human,0.9769569659886858,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),mc5r_human,1.0711792740208077,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),gnrhr_human,1.9027814485088088,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),gpr39_human,3.9253201915630025,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),xcr1_human,2.044768117754172,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),grpr_human,3.912376939959654,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),npsr1_human,7.99990376416331,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),fpr1_human,4.080326087312787,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),fzd2_human,1.07990415092724,Class F (Frizzled),AF2 (no templates) Class F (Frizzled)
AF2 (no templates),fshr_human,4.018397410182791,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),fzd6_human,0.9172517374235595,Class F (Frizzled),AF2 (no templates) Class F (Frizzled)
AF2 (no templates),mrgx1_human,2.0294733762349755,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),acthr_human,7.928930286200429,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),mc3r_human,2.925100271933982,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),hrh4_human,10.908587970502731,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),gpr37_human,4.058390923281904,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
AF2 (no templates),g37l1_human,7.914548101433815,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin)
Peptriever,galr1_human,1.0995658878922485,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,ur2r_human,8.02945961541602,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,bkrb2_human,5.915171322045418,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,agtr1_human,1.9745037156921414,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,sctr_human,3.038254347595948,Class B1 (Secretin),Peptriever Class B1 (Secretin)
Peptriever,npbw2_human,1.0379697593909538,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,gnrhr_human,2.941900994415475,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,glr_human,2.051379823570254,Class B1 (Secretin),Peptriever Class B1 (Secretin)
Peptriever,vipr2_human,0.9520226656896877,Class B1 (Secretin),Peptriever Class B1 (Secretin)
Peptriever,bkrb1_human,5.921821992697998,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,npbw1_human,3.0230665690157537,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,fpr3_human,1.0838707803862793,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,mc5r_human,1.058547067109526,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,glp1r_human,3.960781313619467,Class B1 (Secretin),Peptriever Class B1 (Secretin)
Peptriever,mrgx1_human,5.073160339151627,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,ssr5_human,8.00955837010509,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,fpr2_human,1.9587057437570272,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,vipr1_human,1.084538543600216,Class B1 (Secretin),Peptriever Class B1 (Secretin)
Peptriever,mshr_human,1.0329028573799284,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,oprk_human,2.9741702195780495,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,nk1r_human,3.9667669207223892,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,mc4r_human,5.97850170729734,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,agtr2_human,2.0976774645226484,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,fshr_human,4.900254850214767,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,mrgx2_human,1.918259326375159,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,apj_human,6.026480103241166,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,nk3r_human,3.978058008320232,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,ssr1_human,6.980297139208943,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,nk2r_human,2.0143969880960304,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,pacr_human,1.9775167328579737,Class B1 (Secretin),Peptriever Class B1 (Secretin)
Peptriever,galr2_human,5.0378240853012475,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,mc3r_human,2.956851588452864,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,oprx_human,2.910244894973893,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,mchr2_human,4.0826488037381425,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,oprd_human,4.053365560577983,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,ssr3_human,6.939848237844931,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,mchr1_human,0.9817829098172361,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,ssr4_human,5.975897955706906,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,prlhr_human,2.907928354355496,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
Peptriever,ssr2_human,4.022787847354463,Class A (Rhodopsin),Peptriever Class A (Rhodopsin)
