Model,GPCR,AgonistRank,Class,Model_class,Unseen
AF2 (no templates) LIS,glp2r_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Seen
AF2 (no templates) LIS,v2r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,npy5r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,glp1r_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Seen
AF2 (no templates) LIS,gipr_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Unseen
AF2 (no templates) LIS,agtr2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,npy4r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ssr3_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,mtlr_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,calrl_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Seen
AF2 (no templates) LIS,ccr2_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,vipr1_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Seen
AF2 (no templates) LIS,nmur1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ccr4_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,galr3_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,kissr_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ccr1_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ntr2_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,cxcr4_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,cx3c1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,cckar_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,pth2r_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Seen
AF2 (no templates) LIS,pkr1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,sctr_human,5,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Seen
AF2 (no templates) LIS,pkr2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,calcr_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Unseen
AF2 (no templates) LIS,mchr1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ccr6_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,pacr_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Seen
AF2 (no templates) LIS,ccr9_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,nk3r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ackr1_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,vipr2_human,2,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Unseen
AF2 (no templates) LIS,ackr3_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,npbw1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ssr4_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ccr3_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ntr1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,ackr4_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,nmbr_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,npy1r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,crfr2_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Seen
AF2 (no templates) LIS,lgr5_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ghrhr_human,3,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Seen
AF2 (no templates) LIS,npff1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,npff2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,cxcr5_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ccr10_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,xcr1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ackr2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,fpr2_human,7,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,nk1r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,c3ar_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,cxcr1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,lgr4_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ccr8_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,qrfpr_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,cxcr6_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,cml2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,cxcr2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,apj_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,par4_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,fshr_human,8,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,prlhr_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,crfr1_human,1,Class B1 (Secretin),AF2 (no templates) LIS Class B1 (Secretin),Seen
AF2 (no templates) LIS,lgr6_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ccr7_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ghsr_human,6,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,oprx_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,cxcr3_human,6,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,bkrb1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,agtr1_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,mc4r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,grpr_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,mchr2_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,cml1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,rl3r1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,bkrb2_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,gpr75_human,11,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,mrgx2_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,fpr3_human,6,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ssr1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,oprm_human,3,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,v1br_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,fpr1_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,nk2r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ox1r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,npsr1_human,8,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,trfr_human,4,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,ox2r_human,4,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,mshr_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,gasr_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,oprd_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Seen
AF2 (no templates) LIS,gpr39_human,7,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,mc5r_human,1,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,gpr37_human,3,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,gnrhr_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,acthr_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,mrgx1_human,2,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,mc3r_human,5,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,hrh4_human,9,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates) LIS,g37l1_human,10,Class A (Rhodopsin),AF2 (no templates) LIS Class A (Rhodopsin),Unseen
AF2 (no templates),ednrb_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),ednra_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),glr_human,1,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Seen
AF2 (no templates),ccr5_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),v1ar_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),galr2_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ccr4_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),c5ar1_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),c5ar2_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),npy2r_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ssr2_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),v2r_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),ur2r_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),agtr2_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),oxyr_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),mtlr_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),pth1r_human,1,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Seen
AF2 (no templates),calrl_human,1,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Seen
AF2 (no templates),ackr2_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ntr2_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),oprk_human,5,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),glp1r_human,1,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Seen
AF2 (no templates),glp2r_human,2,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Seen
AF2 (no templates),npy4r_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),npy5r_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),pacr_human,1,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Seen
AF2 (no templates),ccr6_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),ackr4_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),cxcr4_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),kissr_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ssr5_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ccr2_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ghrhr_human,5,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Seen
AF2 (no templates),nmbr_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ackr1_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),vipr1_human,1,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Seen
AF2 (no templates),sctr_human,4,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Seen
AF2 (no templates),ccr1_human,4,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),nk3r_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),galr3_human,3,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ccr10_human,4,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),vipr2_human,1,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Unseen
AF2 (no templates),ackr3_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ssr3_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ccr7_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),cxcr2_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),gipr_human,5,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Unseen
AF2 (no templates),cckar_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),ccr8_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),pkr2_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),npbw1_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ccr9_human,3,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),pth2r_human,1,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Seen
AF2 (no templates),pkr1_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ghsr_human,6,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),apj_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),cxcr1_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),galr1_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ccr3_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),nk1r_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),mchr1_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),npy1r_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),lgr6_human,6,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),calcr_human,1,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Unseen
AF2 (no templates),qrfpr_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),lgr4_human,7,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),npff1_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),cxcr3_human,4,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),prlhr_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),oprx_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),crfr2_human,1,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Seen
AF2 (no templates),agtr1_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),ssr4_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),lgr5_human,5,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),c3ar_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),npbw2_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),cxcr5_human,3,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),bkrb2_human,3,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),crfr1_human,1,Class B1 (Secretin),AF2 (no templates) Class B1 (Secretin),Seen
AF2 (no templates),nmur2_human,3,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),mchr2_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),mrgx2_human,3,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),npff2_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),fpr2_human,6,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),ntr1_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),cx3c1_human,3,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),bkrb1_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),mc4r_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),par4_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),v1br_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),gpr75_human,11,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),cml2_human,3,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),nmur1_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ox2r_human,3,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),nk2r_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),rl3r1_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),cml1_human,3,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ox1r_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),trfr_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),ssr1_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),gasr_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),oprd_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),fpr3_human,5,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),cxcr6_human,3,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),oprm_human,7,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),mshr_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Seen
AF2 (no templates),mc5r_human,1,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),gnrhr_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),gpr39_human,4,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),xcr1_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),grpr_human,4,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),npsr1_human,8,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),fpr1_human,4,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),fshr_human,4,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),mrgx1_human,2,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),acthr_human,8,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
