pdb,e_value,Identity,gpcr,model
7W56,1.6670000000000004e-109,0.459,nmur1_human,rfaa
7SK4,1.034e-44,0.329,ackr3_human,rfaa
7Y67,2.978e-193,0.996,c5ar1_human,rfaa
7XWO,7.629e-114,0.486,nk2r_human,rfaa
8HK2,1.811e-46,0.272,c3ar_human,rfaa
7FIN,3.689e-129,0.532,gipr_human,rfaa
7W53,1.6670000000000004e-109,0.459,nmur1_human,rfaa
8HCQ,2.542e-122,0.491,ednra_human,rfaa
8H0P,5.163e-31,0.251,nmbr_human,rfaa
7TYO,0.0,1.0,calcr_human,rfaa
7EIB,1.102e-106,0.466,bkrb1_human,rfaa
7F6I,4.996e-247,0.962,bkrb2_human,rfaa
7X9C,3.535e-91,0.445,npy4r_human,rfaa
7VFX,2.732e-149,0.675,fpr1_human,rfaa
7YON,2.0619999999999998e-41,0.327,npy2r_human,rfaa
7Y64,8.445000000000001e-194,1.0,c5ar1_human,rfaa
7VL9,2.09e-115,0.6,ccr1_human,rfaa
7W55,5.501e-110,0.457,nmur2_human,rfaa
7VGX,3.2589999999999996e-232,0.997,npy1r_human,rfaa
7W40,3.932e-245,0.959,grpr_human,rfaa
7VV0,6.722e-09,0.25,mrgx2_human,af2
8F7R,6.685e-217,0.927,oprm_human,af2
7P00,7.456000000000001e-199,0.739,nk1r_human,af2
8IC0,4.705e-167,0.786,cxcr1_human,af2
8EFQ,4.522e-217,0.927,oprm_human,af2
7W57,2.636e-117,0.482,nmur2_human,af2
7S8L,6.776e-09,0.25,mrgx2_human,af2
7Y66,1.089e-193,1.0,c5ar1_human,af2
7XMS,1.4780000000000002e-72,0.466,ssr4_human,af2
7T10,9.275e-75,0.463,ssr2_human,af2
7RBT,7.979e-271,0.997,gipr_human,af2
8F7W,6.593999999999999e-190,0.996,oprk_human,af2
7YKD,4.485e-52,0.376,cml1_human,af2
7XAV,6.638999999999999e-127,0.409,ssr2_human,af2
8DWG,6.065e-13,0.333,mrgx1_human,af2
7RYC,2.697e-190,0.937,oxyr_human,af2
7XW9,6.984e-29,0.27,trfr_human,af2
8F0K,0.0,1.0,calcr_human,af2
7XOW,5.144e-111,0.515,gasr_human,af2
7T6T,1.322e-156,0.707,fpr1_human,af2
7VDM,6.722e-09,0.25,mrgx2_human,af2
7VQX,1.2819999999999999e-220,0.625,vipr2_human,af2
7YOO,5.858e-202,0.707,npy2r_human,af2
8IA8,1.9750000000000003e-46,0.272,c3ar_human,af2
8GY7,1.559e-256,0.677,acthr_human,af2
8F7X,1.023e-188,0.986,oprx_human,af2
7WQ4,4.489e-43,0.319,galr2_human,af2
7W3Z,5.072e-245,0.959,grpr_human,af2
8F7Q,2.356e-216,0.924,oprm_human,af2
8IBV,4.3650000000000004e-275,0.632,mtlr_human,af2
7XA3,1.408e-189,0.826,ccr2_human,af2
7WQ3,3.977e-37,0.338,galr1_human,af2
7T11,9.275e-75,0.463,ssr2_human,af2
logs,9.275e-75,0.463,,af2
7W56,2.7089999999999994e-219,0.559,nmur1_human,af2
7SK4,1.5569999999999999e-47,0.267,ackr3_human,af2
7Y67,3.841e-193,0.996,c5ar1_human,af2
7XWO,9.841e-114,0.486,nk2r_human,af2
8HK2,2.337e-46,0.272,c3ar_human,af2
7FIN,0.0,1.0,gipr_human,af2
7W53,2.7089999999999994e-219,0.559,nmur1_human,af2
8HCQ,1.662e-124,0.487,ednra_human,af2
8H0P,1.7930000000000002e-32,0.301,nmbr_human,af2
7TYO,0.0,1.0,calcr_human,af2
7EIB,1.971e-182,0.531,bkrb1_human,af2
7F6I,6.445000000000001e-247,0.962,bkrb2_human,af2
7X9C,4.56e-91,0.445,npy4r_human,af2
7VFX,3.524e-149,0.675,fpr1_human,af2
7YON,5.858e-202,0.707,npy2r_human,af2
7Y64,1.089e-193,1.0,c5ar1_human,af2
7VL9,1.7600000000000003e-123,0.569,ccr1_human,af2
7W55,2.636e-117,0.482,nmur2_human,af2
7VGX,4.204e-232,0.997,npy1r_human,af2
7W40,5.072e-245,0.959,grpr_human,af2
